author,normalized_content,normalized_title
Genaro Ortega Gutiérrez,gracias generosidad lluvia mesurado tarde extremos recónditos jardín fotograma blanco negro lentitud ennoblece llanura plano convoca calidez historia reduciéndolo última pasión nefanda amor adolescente atentado terrorista cuya gravitación mueve inexorable palabra conspira desalmada puesta servicio dogmas buscan equivalencia espíritu forma amanecer mar quizás después verdadera poesía tiesto,ojo huracán
Octavio Paz,noche nace espejos luto sombríos ramos húmedos ciñen pecho cintura cuerpo azul infinito tangible puebla silencio rumores silenciosos peces fantasmas deslizan fosforecen huyen noche verde vasta silenciosa noche morada azul fuego agua noche mármol negro humo hombros nace río curva silenciosa cascada plumas negras noche beso infinito tinieblas infinitas funde beso arde labios límites nombre memoria ceniza olvido entraña sueña noche dulce fiera boca sueño ojos llama fija ávida océano extensión infinita limitada cuerpo acariciado oscuras indefensa voraz amor detenida borde alba venado orilla susurro miedo río terciopelo ceguera respiración dormida corazón inmenso perdona desdichado hueco lleva máscara rostro cruza soledades solas alma silencio llama rozan piel alas negras late olvido fronteras mas cierra poros alma infinito tienta ensimismado árida pelea nadie sigue nadie acompaña boca elocuente mentira anida corazón poblado fantasmas vacío hace desiertos latidos pecho dos perros amarillos hastío avidez disputan alma pensamiento recorre siempre mismas salas deshabitadas encontrar jamás forma agote impaciencia muro perdón muerte corazón aún abre alas águila roja desierto suenan flautas noche mundo duerme canta canta dormido mar ojo tiembla absorto cielo espejo mundo contempla lecho transparencia desnudez marcha solo infatigable encarcelado infinito solitario pensamiento fantasma buscara cuerpo,desconocido
David Escobar Galindo,hacia perspectiva dunas ilusión comienza dibujarse mancha lluvia movimiento volumen insólitos cristales escultura onírica sal soplo repente humana ráfaga,hacia perspectiva dunas
Macedonio Fernández,lleves sombras muerte adonde hará sombra vida sólo vive haber sido quiero vivir recuerdo dame días éstos vida oh tan pronto hagas ausente ausente lleves hoy quisiera estarme todavía morir si ojos voltea mirada amor queda sólo mirar vivir mirar sombras muerte muerte libadora mejillas muerte olvido ojos mirantes,morir
Mario Benedetti,ser queda suspenso abre vida paréntesis vagido universal hambre hambrientos vamos vámonos después descubrir brevemente amar acostumbrarnos fallida eternidad vida clausura vida vida paréntesis cierra incurre vagido uiniversal último entonces sólo entonces ser sigue siempre,vida paréntesis
Fa Claes,vez quiero pensamientos juntos vida entera mil quintillones ficheros abarco vistazo temo cubran completo enano rascacielos espesan cabeza entonces dentro vuelven arena derrumban loma pirámide nadie nunca sabe consiguiente da perfectamente igual rijmenam bajo himalaya pensamientos mismo mismo sé,ojeada
Pablo Neruda,campana rota quiere embargo cantar metal ahora verde color selva campana color agua estanques bosque color día hojas bronce roto verde campana bruces dormida enredada enredaderas color oro duro bronce pasó color rana manos agua humedad costa dio verdura metal ternura campana campana rota arrastrada brusco matorral jardín salvaje campana verde herida hunde cicatrices hierba llama nadie congrega junto copa verde mariposa palpita metal caído vuela huyendo alas amarillas,campana rota
José Ángel Valente,día veremos lado sombra sueño vendrán ojos manos si siempre oro lado sombra sueño,canción franquear sombra
Luis de Góngora,días noé bien recelara si señor jurado cielo arco piedad hielo dejado arca ondas surcara denso mármol fuente clara ninfa peinaba undoso pelo montes coronan cristal suelo atado betis margen inclemencias pues tantas perdona fénix austria mar fiando viento aromáticos leños sino alados aun iglesia corona importan progresos acertados serena aquel aplaca elemento,jornada majestad hizo andalucía
Fa Claes,certeza respecto hombre morirá mundo jure rabie resistencia jamás probaremos toda costa inmortales si sale bien salta mozo salta pozo fe saltar hacen hombre centenares millares compañía seguros cuanto gente salta segura torna fe,certeza
David Escobar Galindo,caminaba calles luz demoraba quizás contando gajos san carlos lugares apacibles inmóviles señoras puertas costureras fondo humo nací avenidas hago salvedad campos elíseos sino quietos callejones caminitos recodos ceremonia tan magnánima admirar antiguos adoquines ojos inocentes siguen gastado albor encajes par verjas pequeños jardines reinos rosa siempre gobernaba rosa distinta cada día ayer fragante hoy empinada mañana casi luz propia después tiernas telarañas tan dulce aire si hecho siesta junto dulcería gardenias cuidándome ser visto cortaba ramo aire iba saboreando cansancio perseverancia profeta alguna vez calles llenaban lluvia si todas cortinas rebelaran tras balcones murmullo alegre recatado daba ambiente ternura filial crepúsculo sé lluvia siempre sorprendió tarde apenas resplandores lluvia viva luego lluvia caliente vaporosa lluvia sonaba árboles antigua auroral marimba tocada ancianos enseñaron calles paciencia río cotidiano claridad humilde remanso refleja garza imaginaria supe después fuerza ríos brilló después volviendo espacio posible inventar estrella nunca dejé caminar calles tranquilas suburbanas igual enlutado personaje magritte edad siempre espaldas quizás muros descascaraban quizás puertas herméticas siempre caminaba calles luz demoraba vida indescifrado sereno laberinto nunca dejé andar calles sé desemboca plaza sueño,caballero magritte
Jordi Doce,hilo siesta callejas adensan silencio impenetrable entonces verano solícito luz ensaya apariencia palpable gravita tenaz asfalto confirma virtudes sosiego crecen hora extrañas formas belleza fardo demudado aire quietud metal ramas terca grisalla muros hierba puntea miro conjunto desgana abrigo fiel cuarto miro igualmente través apenas sombra cristal súbito estremecimiento molino cabeza recuerda tiempo transcurrido tendida sábanas casi desnuda desperezas vacilante gestos tan fingidos misma sonríes tomo conciencia entonces cuerpo aguija rara semejanza cosas ahora rodean así calles cuerpo da gris materia inerte manos luz manos espera vivir vivir violencia seguro pálpito envuelve enardece,blue hotel
Manuel Bretón de los Herreros,dulce cama regalada necio madruga aurora aunque musas digan enamora oír cantar ave alborada oh lindo poltrona dilatada reposar hora hora comer holgar vida encantadora ser nadie pensar salve oh pereza macizo templo tendido larga acomodo graves alumnos ejemplo arrastra bostezando tal modo estúpida modorra entrarme empieza acabo soneto per,pereza
Pablo Neruda,cien sonetos amor hoy ayer cayendo dedos luz ojos sueño mañana llegará pasos verdes nadie detiene río aurora nadie detiene río manos ojos sueño bienamada temblor tiempo transcurre luz vertical sol sombrío cielo cierra alas llevándote trayéndote brazos puntual misteriosa cortesía canto día luna mar tiempo planetas voz diurna piel nocturna,cien sonetos amor
Mario Benedetti,vez siento expulsado ganas volver exilio expulsa entonces parece pertenezco ningún sitio nadie indicio nunca podré ser exiliado aquí allá cualquier parte siempre alguien vigile piense éste viene vengo embargo tal vez compartir cansancio vértigo desamparo querencia recibir cuota rencores reflexiva comisión amor verdad vengo sé certeza vengo,vengo
Lope de Vega,pie roble escarchado belardo amante desbarató tosco nido tejido aves breves pasadas glorias presentes largos males así queja diciendo tal hace tal pague bella filis día tiempo sol esparce rayos suelo dorando montes valles corazón divide dos partes así mesmo decía tal hace tal pague hice desdenes guerra guerra desdenes hacen maté belardo celos celos bien maten atendí siendo llamada agora oye nadie justa causa padezco tal hace tal pague desamé belardo tiempo amor vengarse quiere quiera agora olvide desame dejadme pasiones frescas frescas pasiones dejadme vivir publique tal hace tal pague da pena rigor frío tiempo hace fuego amor ampara dentro pecho nace dando coraje voces revienta coraje dice momentos filis tal hace tal pague do belardo fe prometiste guardarme quebré primero puedes quejarte diste primero quererme primero olvidarte harta disculpa tal hace tal pague sacó seno papel mil ansias abre leerle arruga rompe deshace diciendo causa quién quejarme dio causa revienta tal hace tal pague,pie roble escarchado
Genaro Ortega Gutiérrez,solemne desgranas contenida fascinación sombras racimos jamás capaces apresar infortunio otoño himno tan guardado banderas recónditas implacables abren ventanas par par establecen contrapunto delicadeza malicia luego ido fermentando argumentos esplendor feliz sutilísimas veredas interiores limítrofes sueño arroyos destilan esperanza diálogo interminable vidrios ajuar cerrado alguna vez símbolos erre erre modo singular resistencia,intenso cultivo ojeras
Santiago Montobbio,cansado inútiles estrellas tierra sólo lleno cansado únicamente puede estarlo cada momento soportar vida si busca joven pasado tal vez inexistente señas caminos edificar noche proyectos ligeros prisiones recobrado aire edad traiga entonces nombres historias retratos juren dispongan fin silbarte arena ser escritor cielo vida jamás sido ahora oficio van ser maleficios volver ser nuevo poeta extraño olvido busque comisuras cielo muerte palabra risas tiempo muerte pájaro triste violines magos miradas clave muerte,ahora oficio van ser maleficios clínicas ingenuidades poeta
José Gautier Benítez,sol espléndido radiante ancha esfera sujeto pregunto secreto esplendor rutilante nube distante tiñes ópalo rubí perdóname si pregunto querella si pensando pensando luna brillante topacio nebuloso tul cruzas techumbre azul alas espacio si fijaron despacio bellos ojos si miraste di si doliente bella si pensando pensando mar inmenso agitas lecho arena ora bonanza plena olas precipitas bañas benditas riberas viví sitios vi tan pura tan dulce bella responde si piensa pensando brisa acaso pasando jugaste cabellos besaste cuello mejilla acariciando luego murmurando lejos allí si misma aquí pasas marcar huella responde si piensa pensando noche apacible serena cause enojos bellos ojos negra melena presta consuelo pena sufriendo viví pues llega aquí resplandor estrella responde si piensa pensando nubes blanco celaje bordáis manto cielo aves alzan vuelo inmenso paisaje decidme si viaje lejos lejos aquí llegasteis verla si respondéis querella si pensando pensando sol luna mar viento nubes noche ayudadme idioma contadme si pensamiento si igual sentimiento pecho hiere decid si amor prefiere calma perdió decidme fin si quiere mismo amo,pregunta
Manuel Machado,poeta decadente español siglo veinte toros elogiado cantado golfas aguardiente noche madrid rincones impuros vicios oscuros bisnietos cid tanta canallería harto debo malo bebo dicho bebía cosa poesía cosa grabado alma grabado lugar común alma palabra gastada sabemos conforme según,poeta decadente
